CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,commodity,country_code,country,mts,year,month
2010,2,23032000,10,628,SP,1,817800,35,35040,741,CORNCOPRODUCTS,GBR,United Kingdom,35.04,2010,2
2010,2,23032000,10,275,SP,1,817800,0,2772,10803,CORNCOPRODUCTS,FRA,France,2.772,2010,2
2010,5,23032000,10,097,ZN,4,145200,800,800,628,CORNCOPRODUCTS,BOL,Bolivia,0.8,2010,5
2010,1,23032000,10,023,ZN,4,817800,31,30084,1173,CORNCOPRODUCTS,DEU,Germany,30.084,2010,1
2010,7,23032000,10,232,PR,4,817700,0,170,255,CORNCOPRODUCTS,DNK,Denmark,0.17,2010,7
2010,1,23032000,10,149,SP,4,817600,500,500,100,CORNCOPRODUCTS,CAN,Canada,0.5,2010,1
2010,12,23032000,10,573,RJ,1,717600,2500,2500,1250,CORNCOPRODUCTS,NLD,Netherlands,2.5,2010,12
2010,12,23032000,10,275,SP,1,817800,0,2800,10481,CORNCOPRODUCTS,FRA,France,2.8,2010,12
2011,12,23032000,10,249,SP,1,817800,0,2390,1195,CORNCOPRODUCTS,USA,United States,2.39,2011,12
2011,7,23032000,10,249,MG,4,817700,0,0,2,CORNCOPRODUCTS,USA,United States,0.0,2011,7
2011,12,23032000,10,023,SP,1,817800,0,1000,227,CORNCOPRODUCTS,DEU,Germany,1.0,2011,12
2011,4,23032000,10,275,SP,4,817600,600,600,2142,CORNCOPRODUCTS,FRA,France,0.6,2011,4
2011,10,23032000,10,573,SP,1,817800,0,2016,3428,CORNCOPRODUCTS,NLD,Netherlands,2.016,2011,10
2011,11,23032000,10,573,SP,1,817800,0,1704,2250,CORNCOPRODUCTS,NLD,Netherlands,1.704,2011,11
2011,6,23032000,10,275,SP,1,817800,0,5400,19305,CORNCOPRODUCTS,FRA,France,5.4,2011,6
2011,11,23032000,10,249,SP,4,817600,0,321,221,CORNCOPRODUCTS,USA,United States,0.321,2011,11
2011,1,23033000,10,087,SP,1,817800,0,73150,60147,CORNCOPRODUCTS,BEL,Belgium,73.15,2011,1
2012,9,23032000,10,072,SP,1,817800,1524,1524,37,CORNCOPRODUCTS,AUT,Austria,1.524,2012,9
2012,11,23032000,10,023,SP,4,817600,480,480,7061,CORNCOPRODUCTS,DEU,Germany,0.48,2012,11
2012,12,23032000,10,249,ZN,4,817600,10,10,235,CORNCOPRODUCTS,USA,United States,0.01,2012,12
2012,12,23032000,10,232,SP,1,817800,1940,1940,15,CORNCOPRODUCTS,DNK,Denmark,1.94,2012,12
2012,3,23032000,10,149,SP,1,817800,5165,5165,5,CORNCOPRODUCTS,CAN,Canada,5.165,2012,3
2012,12,23032000,10,149,SP,1,817800,132340,132340,3309,CORNCOPRODUCTS,CAN,Canada,132.34,2012,12
2012,5,23032000,10,249,SP,1,817800,3000,3000,1500,CORNCOPRODUCTS,USA,United States,3.0,2012,5
2012,9,23032000,10,386,SP,1,817800,9600,9600,234,CORNCOPRODUCTS,ITA,Italy,9.6,2012,9
2012,8,23032000,10,149,SP,1,817800,344580,344580,8617,CORNCOPRODUCTS,CAN,Canada,344.58,2012,8
2012,11,23032000,10,249,SP,4,817600,30,30,159,CORNCOPRODUCTS,USA,United States,0.03,2012,11
2012,2,23032000,10,023,SP,1,817800,0,1180,498,CORNCOPRODUCTS,DEU,Germany,1.18,2012,2
2012,10,23032000,10,538,SP,1,817800,68300,68300,18292,CORNCOPRODUCTS,NOR,Norway,68.3,2012,10
2012,12,23032000,10,149,ZN,4,817700,370,370,19,CORNCOPRODUCTS,CAN,Canada,0.37,2012,12
2012,1,23032000,10,023,PA,1,417800,25000,25000,3156,CORNCOPRODUCTS,DEU,Germany,25.0,2012,1
2012,9,23032000,10,249,SP,1,817800,5000,5000,1000,CORNCOPRODUCTS,USA,United States,5.0,2012,9
2013,10,23032000,10,245,ND,4,717700,100,100,50,CORNCOPRODUCTS,ESP,Spain,0.1,2013,10
2013,10,23032000,10,386,SP,4,817600,5270,5270,244,CORNCOPRODUCTS,ITA,Italy,5.27,2013,10
2013,12,23032000,10,023,GO,1,817800,92100,92100,12322,CORNCOPRODUCTS,DEU,Germany,92.1,2013,12
2013,10,23032000,10,023,GO,1,817800,10540,10540,4522,CORNCOPRODUCTS,DEU,Germany,10.54,2013,10
2013,10,23032000,10,232,SP,9,817700,400,400,46,CORNCOPRODUCTS,DNK,Denmark,0.4,2013,10
2013,8,23032000,10,249,SP,4,817600,9017,9017,387,CORNCOPRODUCTS,USA,United States,9.017,2013,8
2013,8,23032000,10,386,ZN,4,817800,29480,29480,14726,CORNCOPRODUCTS,ITA,Italy,29.48,2013,8
2013,9,23032000,10,386,SP,1,817800,7000,7000,14439,CORNCOPRODUCTS,ITA,Italy,7.0,2013,9
2013,11,23032000,10,249,SP,1,817800,67200,67200,13440,CORNCOPRODUCTS,USA,United States,67.2,2013,11
2013,10,23032000,10,023,ZN,4,817600,1,220,42,CORNCOPRODUCTS,DEU,Germany,0.22,2013,10
2013,7,23032000,10,149,SP,1,817800,293520,293520,7617,CORNCOPRODUCTS,CAN,Canada,293.52,2013,7
2013,1,23032000,10,249,SP,1,817800,26418,26418,3260,CORNCOPRODUCTS,USA,United States,26.418,2013,1
2013,1,23032000,10,149,SP,1,817800,277240,277240,6931,CORNCOPRODUCTS,CAN,Canada,277.24,2013,1
2013,12,23032000,10,249,SP,1,817800,16342,16342,3268,CORNCOPRODUCTS,USA,United States,16.342,2013,12
2013,2,23032000,10,149,SP,1,817800,233580,233580,5840,CORNCOPRODUCTS,CAN,Canada,233.58,2013,2
2013,5,23032000,10,628,SP,1,817800,7245,7245,362,CORNCOPRODUCTS,GBR,United Kingdom,7.245,2013,5
2013,8,23032000,10,249,SP,9,817700,80,80,8,CORNCOPRODUCTS,USA,United States,0.08,2013,8
2013,10,23032000,10,275,SP,1,817800,5000,5000,6800,CORNCOPRODUCTS,FRA,France,5.0,2013,10
2013,10,23032000,10,023,GO,4,817600,600,600,778,CORNCOPRODUCTS,DEU,Germany,0.6,2013,10
2013,10,23032000,10,249,SP,1,817800,15480,15480,2209,CORNCOPRODUCTS,USA,United States,15.48,2013,10
2014,2,23032000,10,249,ZN,4,817700,2150,2150,3673,CORNCOPRODUCTS,USA,United States,2.15,2014,2
2014,5,23032000,10,399,SP,4,817600,20,20,9,CORNCOPRODUCTS,JPN,Japan,0.02,2014,5
2014,11,23032000,10,072,SP,1,817800,479,479,90,CORNCOPRODUCTS,AUT,Austria,0.479,2014,11
2014,1,23032000,10,023,GO,1,817800,62680,62680,7239,CORNCOPRODUCTS,DEU,Germany,62.68,2014,1
2014,9,23032000,10,573,SP,4,817600,25,25,5,CORNCOPRODUCTS,NLD,Netherlands,0.025,2014,9
2014,10,23033000,10,573,SP,4,817600,390,390,150,CORNCOPRODUCTS,NLD,Netherlands,0.39,2014,10
2014,8,23032000,10,023,GO,1,817800,92500,92500,63888,CORNCOPRODUCTS,DEU,Germany,92.5,2014,8
2014,9,23032000,10,249,SP,4,817600,11690,11690,35,CORNCOPRODUCTS,USA,United States,11.69,2014,9
2014,11,23032000,10,023,GO,1,817800,58880,58880,45079,CORNCOPRODUCTS,DEU,Germany,58.88,2014,11
2014,9,23031000,10,069,ZN,4,817600,960,960,15764,CORNCOPRODUCTS,AUS,Australia,0.96,2014,9
2014,9,23031000,10,361,ZN,4,817600,480,480,8732,CORNCOPRODUCTS,IND,India,0.48,2014,9
2014,3,23032000,10,249,SP,1,817800,26416,26416,1117,CORNCOPRODUCTS,USA,United States,26.416,2014,3
2014,4,23031000,10,586,PR,7,145100,52000,52000,42512,CORNCOPRODUCTS,PRY,Paraguay,52.0,2014,4
2014,1,23032000,10,249,SP,4,817600,11320,11320,482,CORNCOPRODUCTS,USA,United States,11.32,2014,1
2014,10,23032000,10,023,GO,1,817800,262120,262120,174687,CORNCOPRODUCTS,DEU,Germany,262.12,2014,10
2014,12,23031000,10,063,MN,7,1010900,300,300,3897,CORNCOPRODUCTS,ARG,Argentina,0.3,2014,12
2014,12,23032000,10,275,SP,1,817800,20000,20000,22040,CORNCOPRODUCTS,FRA,France,20.0,2014,12
2015,2,23032000,10,249,PR,4,915200,3,3,3,CORNCOPRODUCTS,USA,United States,0.003,2015,2
2015,6,23032000,10,249,AL,4,817700,24573,24573,258,CORNCOPRODUCTS,USA,United States,24.573,2015,6
2015,8,23032000,10,249,MN,4,817600,994,994,4475,CORNCOPRODUCTS,USA,United States,0.994,2015,8
2015,5,23032000,10,169,SP,1,817800,3000,3000,6900,CORNCOPRODUCTS,COL,Colombia,3.0,2015,5
2015,8,23031000,10,249,SP,1,817800,380,380,4906,CORNCOPRODUCTS,USA,United States,0.38,2015,8
2015,4,23032000,10,764,AL,4,817700,2298,2298,946,CORNCOPRODUCTS,SWE,Sweden,2.298,2015,4
2016,5,23033000,10,023,SP,4,817600,50,50,109,CORNCOPRODUCTS,DEU,Germany,0.05,2016,5
2016,8,23032000,10,023,SP,1,817800,32,32,30000,CORNCOPRODUCTS,DEU,Germany,0.032,2016,8
2016,8,23031000,10,040,RS,1,1017700,900,900,1361,CORNCOPRODUCTS,AGO,Angola,0.9,2016,8
2016,3,23032000,10,023,SP,1,817800,11000,11000,9000,CORNCOPRODUCTS,DEU,Germany,11.0,2016,3
2017,11,23031000,10,160,RJ,1,717600,11206,11206,12765,CORNCOPRODUCTS,CHN,China,11.206,2017,11
2017,7,23032000,10,023,SP,4,817700,3030,3030,249,CORNCOPRODUCTS,DEU,Germany,3.03,2017,7
2017,1,23031000,10,589,SP,1,817800,2400,2400,2487,CORNCOPRODUCTS,PER,Peru,2.4,2017,1
2017,11,23032000,10,023,MG,4,817600,292,292,34,CORNCOPRODUCTS,DEU,Germany,0.292,2017,11
2017,6,23032000,10,023,SP,1,817800,15000,15000,25659,CORNCOPRODUCTS,DEU,Germany,15.0,2017,6
2018,11,23032000,10,023,MG,4,817600,190,190,11,CORNCOPRODUCTS,DEU,Germany,0.19,2018,11
2018,12,23031000,10,431,PA,1,217800,14640,15,2591,CORNCOPRODUCTS,LBN,Lebanon,0.015,2018,12
2018,8,23031000,10,267,CE,9,317900,1,1,18,CORNCOPRODUCTS,PHL,Philippines,0.001,2018,8
2018,7,23032000,10,573,SP,4,817600,1000,1000,13,CORNCOPRODUCTS,NLD,Netherlands,1.0,2018,7
2018,11,23032000,10,580,PR,1,917800,20,20,47,CORNCOPRODUCTS,PAN,Panama,0.02,2018,11
2018,12,23031000,10,249,SP,4,817600,249,249,125,CORNCOPRODUCTS,USA,United States,0.249,2018,12
2018,5,23031000,10,160,RJ,1,717600,11206,11206,12765,CORNCOPRODUCTS,CHN,China,11.206,2018,5
2018,12,23032000,10,573,SP,1,817800,9836309,9836309,1732376,CORNCOPRODUCTS,NLD,Netherlands,9836.309,2018,12
2019,8,23031000,10,240,PA,1,217800,51080,51080,9910,CORNCOPRODUCTS,EGY,Egypt,51.08,2019,8
2019,6,23031000,10,023,SP,4,817700,328,328,164,CORNCOPRODUCTS,DEU,Germany,0.328,2019,6
2019,9,23031000,10,741,SP,4,817700,4,4,2,CORNCOPRODUCTS,SGP,Singapore,0.004,2019,9
2019,4,23032000,10,158,SP,7,1017500,4,4,8,CORNCOPRODUCTS,CHL,Chile,0.004,2019,4
2019,5,23031000,10,573,CE,1,317900,1,1,14,CORNCOPRODUCTS,NLD,Netherlands,0.001,2019,5
2019,10,23031000,10,845,SP,1,917800,68488,68488,83938,CORNCOPRODUCTS,URY,Uruguay,68.488,2019,10
2019,5,23031000,10,434,CE,1,317900,1,1,19,CORNCOPRODUCTS,LBR,Liberia,0.001,2019,5
2019,9,23031000,10,386,SP,4,817700,10,10,5,CORNCOPRODUCTS,ITA,Italy,0.01,2019,9
2019,9,23031000,10,845,SP,7,1010252,19380,19380,19854,CORNCOPRODUCTS,URY,Uruguay,19.38,2019,9
2019,6,23031000,10,431,PA,1,217800,12300,12300,2177,CORNCOPRODUCTS,LBN,Lebanon,12.3,2019,6
2019,3,23032000,10,149,SP,4,817600,18,18,8,CORNCOPRODUCTS,CAN,Canada,0.018,2019,3
2019,7,23031000,10,160,SP,4,817700,49,49,24,CORNCOPRODUCTS,CHN,China,0.049,2019,7
2019,1,23031000,10,160,RJ,1,717800,11609,11609,12373,CORNCOPRODUCTS,CHN,China,11.609,2019,1
2019,12,23033000,10,249,SP,4,817600,5,5,1,CORNCOPRODUCTS,USA,United States,0.005,2019,12
2019,12,23031000,10,169,SP,1,917800,17075,17075,25952,CORNCOPRODUCTS,COL,Colombia,17.075,2019,12
2019,5,23032000,10,399,SP,4,817600,5,5,3,CORNCOPRODUCTS,JPN,Japan,0.005,2019,5
2019,6,23031000,10,190,SP,1,817800,35545,35545,45544,CORNCOPRODUCTS,KOR,South Korea,35.545,2019,6
2019,9,23031000,10,069,SP,4,817600,13,13,7,CORNCOPRODUCTS,AUS,Australia,0.013,2019,9
2019,6,23031000,10,240,PA,1,217800,39500,39500,8291,CORNCOPRODUCTS,EGY,Egypt,39.5,2019,6
2019,11,23031000,10,827,PA,1,217800,11600,11600,2053,CORNCOPRODUCTS,TUR,Turkey,11.6,2019,11
2019,7,23031000,10,764,SP,1,817800,35424,35424,41998,CORNCOPRODUCTS,SWE,Sweden,35.424,2019,7
2019,8,23031000,10,160,RJ,1,717800,23201,23201,23706,CORNCOPRODUCTS,CHN,China,23.201,2019,8
2019,5,23031000,10,160,SP,4,817600,160,160,43,CORNCOPRODUCTS,CHN,China,0.16,2019,5
2019,10,23031000,10,169,RJ,1,717600,11012,11012,11596,CORNCOPRODUCTS,COL,Colombia,11.012,2019,10
2019,9,23031000,10,160,SP,4,817700,39,39,20,CORNCOPRODUCTS,CHN,China,0.039,2019,9
2019,7,23031000,10,087,SP,1,817800,53136,53136,70450,CORNCOPRODUCTS,BEL,Belgium,53.136,2019,7
2019,11,23031000,10,240,PA,1,217800,24260,24260,5216,CORNCOPRODUCTS,EGY,Egypt,24.26,2019,11
2019,8,23031000,10,647,SP,1,917800,18286,18286,20907,CORNCOPRODUCTS,DOM,Dominican Republic,18.286,2019,8
2019,2,23031000,10,431,PA,1,217800,27360,27360,6019,CORNCOPRODUCTS,LBN,Lebanon,27.36,2019,2
2019,9,23031000,10,431,PA,1,217800,69940,69940,12380,CORNCOPRODUCTS,LBN,Lebanon,69.94,2019,9
2019,9,23031000,10,586,SP,7,917500,5616,5616,4752,CORNCOPRODUCTS,PRY,Paraguay,5.616,2019,9
2019,9,23031000,10,240,PA,1,217800,23340,23340,4878,CORNCOPRODUCTS,EGY,Egypt,23.34,2019,9
2019,2,23031000,10,240,PA,1,217800,27680,27680,4899,CORNCOPRODUCTS,EGY,Egypt,27.68,2019,2
2019,12,23031000,10,845,SP,1,917800,17121,17121,19731,CORNCOPRODUCTS,URY,Uruguay,17.121,2019,12
2019,12,23031000,10,160,SP,1,917800,16925,16925,14651,CORNCOPRODUCTS,CHN,China,16.925,2019,12
2019,8,23031000,10,245,SP,4,817700,16,16,5,CORNCOPRODUCTS,ESP,Spain,0.016,2019,8
2019,8,23031000,10,063,SP,7,1017500,19380,19380,20480,CORNCOPRODUCTS,ARG,Argentina,19.38,2019,8
2019,10,23031000,10,764,SP,1,817800,17121,17121,22029,CORNCOPRODUCTS,SWE,Sweden,17.121,2019,10
2019,11,23031000,10,249,RJ,1,717800,23184,23184,24142,CORNCOPRODUCTS,USA,United States,23.184,2019,11
2019,7,23031000,10,467,CE,1,317900,4,4,79,CORNCOPRODUCTS,MLT,Malta,0.004,2019,7
2019,10,23031000,10,573,SP,4,817600,10,10,5,CORNCOPRODUCTS,NLD,Netherlands,0.01,2019,10
2019,5,23031000,10,764,SP,1,817800,18270,18270,22150,CORNCOPRODUCTS,SWE,Sweden,18.27,2019,5
2019,3,23031000,10,240,PA,1,217800,43700,43700,9221,CORNCOPRODUCTS,EGY,Egypt,43.7,2019,3
2019,5,23031000,10,160,RJ,1,817800,23202,23202,23706,CORNCOPRODUCTS,CHN,China,23.202,2019,5
2019,4,23031000,10,431,PA,1,217800,13240,13240,2343,CORNCOPRODUCTS,LBN,Lebanon,13.24,2019,4
2019,12,23031000,10,467,CE,1,317900,1,1,23,CORNCOPRODUCTS,MLT,Malta,0.001,2019,12
2019,8,23031000,10,158,SP,4,817700,14,14,3,CORNCOPRODUCTS,CHL,Chile,0.014,2019,8
2019,1,23031000,10,403,PA,1,217800,14280,14280,2528,CORNCOPRODUCTS,JOR,Jordan,14.28,2019,1
2019,9,23031000,10,196,SP,4,817600,13,13,7,CORNCOPRODUCTS,CRI,Costa Rica,0.013,2019,9
2019,9,23031000,10,149,SP,4,817600,13,13,7,CORNCOPRODUCTS,CAN,Canada,0.013,2019,9
2019,8,23032000,10,023,MG,1,817800,2036,2036,43,CORNCOPRODUCTS,DEU,Germany,2.036,2019,8
2019,11,23032000,10,607,SP,4,817600,3,3,1,CORNCOPRODUCTS,PRT,Portugal,0.003,2019,11
2019,8,23031000,10,160,SP,4,817700,16,16,5,CORNCOPRODUCTS,CHN,China,0.016,2019,8
2020,2,23031000,10,160,SP,1,917800,34244,34244,33083,CORNCOPRODUCTS,CHN,China,34.244,2020,2
2020,8,23031000,10,240,PA,1,217800,40360,40360,4869,CORNCOPRODUCTS,EGY,Egypt,40.36,2020,8
2020,3,23033000,10,249,MG,4,817600,24,24,95,CORNCOPRODUCTS,USA,United States,0.024,2020,3
2020,5,23032000,10,573,SP,1,817800,40149120,40149120,7407103,CORNCOPRODUCTS,NLD,Netherlands,40149.12,2020,5
2020,10,23031000,10,275,CE,1,317900,2,2,64,CORNCOPRODUCTS,FRA,France,0.002,2020,10
