load_time,source_desc,year,freq_desc,reference_period_desc,begin_code,week_ending,agg_level_desc,domain_desc,state_alpha,county_name,commodity_desc,util_practice_desc,statisticcat_desc,unit_desc,short_desc,domaincat_desc,class_desc,Value
2015-02-19 15:08:06.000,SURVEY,2014,MONTHLY,OCT,10,,NATIONAL,TOTAL,US,,CORN,FOR BEVERAGE ALCOHOL,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,4200000
2015-02-19 15:08:06.000,SURVEY,2014,MONTHLY,NOV,11,,NATIONAL,TOTAL,US,,CORN,FOR BEVERAGE ALCOHOL,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,2975000
2015-03-02 15:05:06.000,SURVEY,2014,MONTHLY,DEC,12,,NATIONAL,TOTAL,US,,CORN,FOR BEVERAGE ALCOHOL,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,2364000
2015-02-19 15:08:06.000,SURVEY,2014,MONTHLY,OCT,10,,NATIONAL,TOTAL,US,,CORN,FOR FUEL ALCOHOL,USAGE,BU,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,427347000
2015-02-19 15:08:06.000,SURVEY,2014,MONTHLY,NOV,11,,NATIONAL,TOTAL,US,,CORN,FOR FUEL ALCOHOL,USAGE,BU,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,433939000
2015-03-02 15:05:06.000,SURVEY,2014,MONTHLY,DEC,12,,NATIONAL,TOTAL,US,,CORN,FOR FUEL ALCOHOL,USAGE,BU,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,455956000
2015-02-19 15:08:06.000,SURVEY,2014,MONTHLY,OCT,10,,NATIONAL,TOTAL,US,,CORN,FOR INDUSTRIAL ALCOHOL,USAGE,BU,"CORN, FOR INDUSTRIAL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,5664000
2015-02-19 15:08:06.000,SURVEY,2014,MONTHLY,NOV,11,,NATIONAL,TOTAL,US,,CORN,FOR INDUSTRIAL ALCOHOL,USAGE,BU,"CORN, FOR INDUSTRIAL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,6293000
2015-03-02 15:05:06.000,SURVEY,2014,MONTHLY,DEC,12,,NATIONAL,TOTAL,US,,CORN,FOR INDUSTRIAL ALCOHOL,USAGE,BU,"CORN, FOR INDUSTRIAL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,6953000
2016-03-01 15:06:01.000,SURVEY,2015,MONTHLY,JAN,1,,NATIONAL,TOTAL,US,,CORN,FOR BEVERAGE ALCOHOL,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,2087000
2016-03-01 15:06:01.000,SURVEY,2015,MONTHLY,FEB,2,,NATIONAL,TOTAL,US,,CORN,FOR BEVERAGE ALCOHOL,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,2698000
2016-03-01 15:06:01.000,SURVEY,2015,MONTHLY,MAR,3,,NATIONAL,TOTAL,US,,CORN,FOR BEVERAGE ALCOHOL,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,2455000
2016-03-01 15:06:01.000,SURVEY,2015,MONTHLY,APR,4,,NATIONAL,TOTAL,US,,CORN,FOR BEVERAGE ALCOHOL,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,3298000
2016-03-01 15:06:01.000,SURVEY,2015,MONTHLY,MAY,5,,NATIONAL,TOTAL,US,,CORN,FOR BEVERAGE ALCOHOL,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,3234000
2016-03-01 15:06:01.000,SURVEY,2015,MONTHLY,JUN,6,,NATIONAL,TOTAL,US,,CORN,FOR BEVERAGE ALCOHOL,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,2492000
2016-03-01 15:06:01.000,SURVEY,2015,MONTHLY,JUL,7,,NATIONAL,TOTAL,US,,CORN,FOR BEVERAGE ALCOHOL,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,2645000
2016-03-01 15:06:01.000,SURVEY,2015,MONTHLY,AUG,8,,NATIONAL,TOTAL,US,,CORN,FOR BEVERAGE ALCOHOL,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,3129000
2016-03-01 15:06:01.000,SURVEY,2015,MONTHLY,SEP,9,,NATIONAL,TOTAL,US,,CORN,FOR BEVERAGE ALCOHOL,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,3478000
2016-03-01 15:06:01.000,SURVEY,2015,MONTHLY,OCT,10,,NATIONAL,TOTAL,US,,CORN,FOR BEVERAGE ALCOHOL,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,2599000
2016-03-01 15:06:01.000,SURVEY,2015,MONTHLY,NOV,11,,NATIONAL,TOTAL,US,,CORN,FOR BEVERAGE ALCOHOL,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,2970000
2016-03-01 15:06:01.000,SURVEY,2015,MONTHLY,DEC,12,,NATIONAL,TOTAL,US,,CORN,FOR BEVERAGE ALCOHOL,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,2807000
2016-03-01 15:06:01.000,SURVEY,2015,MONTHLY,JAN,1,,NATIONAL,TOTAL,US,,CORN,FOR FUEL ALCOHOL,USAGE,BU,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,443890000
2016-03-01 15:06:01.000,SURVEY,2015,MONTHLY,FEB,2,,NATIONAL,TOTAL,US,,CORN,FOR FUEL ALCOHOL,USAGE,BU,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,394083000
2016-03-01 15:06:01.000,SURVEY,2015,MONTHLY,MAR,3,,NATIONAL,TOTAL,US,,CORN,FOR FUEL ALCOHOL,USAGE,BU,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,437828000
2016-03-01 15:06:01.000,SURVEY,2015,MONTHLY,APR,4,,NATIONAL,TOTAL,US,,CORN,FOR FUEL ALCOHOL,USAGE,BU,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,407719000
2016-03-01 15:06:01.000,SURVEY,2015,MONTHLY,MAY,5,,NATIONAL,TOTAL,US,,CORN,FOR FUEL ALCOHOL,USAGE,BU,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,448984000
2016-03-01 15:06:01.000,SURVEY,2015,MONTHLY,JUN,6,,NATIONAL,TOTAL,US,,CORN,FOR FUEL ALCOHOL,USAGE,BU,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,441272000
2016-03-01 15:06:01.000,SURVEY,2015,MONTHLY,JUL,7,,NATIONAL,TOTAL,US,,CORN,FOR FUEL ALCOHOL,USAGE,BU,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,448400000
2016-03-01 15:06:01.000,SURVEY,2015,MONTHLY,AUG,8,,NATIONAL,TOTAL,US,,CORN,FOR FUEL ALCOHOL,USAGE,BU,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,445718000
2016-03-01 15:06:01.000,SURVEY,2015,MONTHLY,SEP,9,,NATIONAL,TOTAL,US,,CORN,FOR FUEL ALCOHOL,USAGE,BU,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,425916000
2016-03-01 15:06:01.000,SURVEY,2015,MONTHLY,OCT,10,,NATIONAL,TOTAL,US,,CORN,FOR FUEL ALCOHOL,USAGE,BU,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,440383000
2016-03-01 15:06:01.000,SURVEY,2015,MONTHLY,NOV,11,,NATIONAL,TOTAL,US,,CORN,FOR FUEL ALCOHOL,USAGE,BU,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,433903000
2016-03-01 15:06:01.000,SURVEY,2015,MONTHLY,DEC,12,,NATIONAL,TOTAL,US,,CORN,FOR FUEL ALCOHOL,USAGE,BU,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,451306000
2016-03-01 15:06:01.000,SURVEY,2015,MONTHLY,JAN,1,,NATIONAL,TOTAL,US,,CORN,FOR INDUSTRIAL ALCOHOL,USAGE,BU,"CORN, FOR INDUSTRIAL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,6326000
2016-03-01 15:06:01.000,SURVEY,2015,MONTHLY,FEB,2,,NATIONAL,TOTAL,US,,CORN,FOR INDUSTRIAL ALCOHOL,USAGE,BU,"CORN, FOR INDUSTRIAL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,6522000
2016-03-01 15:06:01.000,SURVEY,2015,MONTHLY,MAR,3,,NATIONAL,TOTAL,US,,CORN,FOR INDUSTRIAL ALCOHOL,USAGE,BU,"CORN, FOR INDUSTRIAL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,6671000
2016-03-01 15:06:01.000,SURVEY,2015,MONTHLY,APR,4,,NATIONAL,TOTAL,US,,CORN,FOR INDUSTRIAL ALCOHOL,USAGE,BU,"CORN, FOR INDUSTRIAL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,6555000
2016-03-01 15:06:01.000,SURVEY,2015,MONTHLY,MAY,5,,NATIONAL,TOTAL,US,,CORN,FOR INDUSTRIAL ALCOHOL,USAGE,BU,"CORN, FOR INDUSTRIAL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,5701000
2016-03-01 15:06:01.000,SURVEY,2015,MONTHLY,JUN,6,,NATIONAL,TOTAL,US,,CORN,FOR INDUSTRIAL ALCOHOL,USAGE,BU,"CORN, FOR INDUSTRIAL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,6857000
2016-03-01 15:06:01.000,SURVEY,2015,MONTHLY,JUL,7,,NATIONAL,TOTAL,US,,CORN,FOR INDUSTRIAL ALCOHOL,USAGE,BU,"CORN, FOR INDUSTRIAL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,6207000
2016-03-01 15:06:01.000,SURVEY,2015,MONTHLY,AUG,8,,NATIONAL,TOTAL,US,,CORN,FOR INDUSTRIAL ALCOHOL,USAGE,BU,"CORN, FOR INDUSTRIAL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,6336000
2016-03-01 15:06:01.000,SURVEY,2015,MONTHLY,SEP,9,,NATIONAL,TOTAL,US,,CORN,FOR INDUSTRIAL ALCOHOL,USAGE,BU,"CORN, FOR INDUSTRIAL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,5673000
2016-03-01 15:06:01.000,SURVEY,2015,MONTHLY,OCT,10,,NATIONAL,TOTAL,US,,CORN,FOR INDUSTRIAL ALCOHOL,USAGE,BU,"CORN, FOR INDUSTRIAL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,6687000
2016-03-01 15:06:01.000,SURVEY,2015,MONTHLY,NOV,11,,NATIONAL,TOTAL,US,,CORN,FOR INDUSTRIAL ALCOHOL,USAGE,BU,"CORN, FOR INDUSTRIAL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,5576000
2016-03-01 15:06:01.000,SURVEY,2015,MONTHLY,DEC,12,,NATIONAL,TOTAL,US,,CORN,FOR INDUSTRIAL ALCOHOL,USAGE,BU,"CORN, FOR INDUSTRIAL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,6479000
2017-03-01 15:30:17.000,SURVEY,2016,MONTHLY,JAN,1,,NATIONAL,TOTAL,US,,CORN,FOR BEVERAGE ALCOHOL,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,3141000
2017-03-01 15:30:17.000,SURVEY,2016,MONTHLY,FEB,2,,NATIONAL,TOTAL,US,,CORN,FOR BEVERAGE ALCOHOL,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,2462000
2017-03-01 15:30:17.000,SURVEY,2016,MONTHLY,MAR,3,,NATIONAL,TOTAL,US,,CORN,FOR BEVERAGE ALCOHOL,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,2712000
2017-03-01 15:30:17.000,SURVEY,2016,MONTHLY,APR,4,,NATIONAL,TOTAL,US,,CORN,FOR BEVERAGE ALCOHOL,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,2689000
2017-03-01 15:30:17.000,SURVEY,2016,MONTHLY,MAY,5,,NATIONAL,TOTAL,US,,CORN,FOR BEVERAGE ALCOHOL,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,2846000
2017-03-01 15:30:17.000,SURVEY,2016,MONTHLY,JUN,6,,NATIONAL,TOTAL,US,,CORN,FOR BEVERAGE ALCOHOL,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,2600000
2017-03-01 15:30:17.000,SURVEY,2016,MONTHLY,JUL,7,,NATIONAL,TOTAL,US,,CORN,FOR BEVERAGE ALCOHOL,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,2609000
2017-03-01 15:30:17.000,SURVEY,2016,MONTHLY,AUG,8,,NATIONAL,TOTAL,US,,CORN,FOR BEVERAGE ALCOHOL,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,3132000
2017-03-01 15:30:17.000,SURVEY,2016,MONTHLY,SEP,9,,NATIONAL,TOTAL,US,,CORN,FOR BEVERAGE ALCOHOL,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,2793000
2017-03-01 15:30:17.000,SURVEY,2016,MONTHLY,OCT,10,,NATIONAL,TOTAL,US,,CORN,FOR BEVERAGE ALCOHOL,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,3184000
2017-03-01 15:30:17.000,SURVEY,2016,MONTHLY,NOV,11,,NATIONAL,TOTAL,US,,CORN,FOR BEVERAGE ALCOHOL,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,3361000
2017-03-01 15:30:17.000,SURVEY,2016,MONTHLY,DEC,12,,NATIONAL,TOTAL,US,,CORN,FOR BEVERAGE ALCOHOL,USAGE,BU,"CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,2595000
2017-03-01 15:30:17.000,SURVEY,2016,MONTHLY,JAN,1,,NATIONAL,TOTAL,US,,CORN,FOR FUEL ALCOHOL,USAGE,BU,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,444036000
2017-03-01 15:30:17.000,SURVEY,2016,MONTHLY,FEB,2,,NATIONAL,TOTAL,US,,CORN,FOR FUEL ALCOHOL,USAGE,BU,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,420937000
2017-03-01 15:30:17.000,SURVEY,2016,MONTHLY,MAR,3,,NATIONAL,TOTAL,US,,CORN,FOR FUEL ALCOHOL,USAGE,BU,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,438381000
2017-03-01 15:30:17.000,SURVEY,2016,MONTHLY,APR,4,,NATIONAL,TOTAL,US,,CORN,FOR FUEL ALCOHOL,USAGE,BU,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,400731000
2017-03-01 15:30:17.000,SURVEY,2016,MONTHLY,MAY,5,,NATIONAL,TOTAL,US,,CORN,FOR FUEL ALCOHOL,USAGE,BU,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,425684000
2017-03-01 15:30:17.000,SURVEY,2016,MONTHLY,JUN,6,,NATIONAL,TOTAL,US,,CORN,FOR FUEL ALCOHOL,USAGE,BU,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,427558000
2017-03-01 15:30:17.000,SURVEY,2016,MONTHLY,JUL,7,,NATIONAL,TOTAL,US,,CORN,FOR FUEL ALCOHOL,USAGE,BU,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,456422000
2017-03-01 15:30:17.000,SURVEY,2016,MONTHLY,AUG,8,,NATIONAL,TOTAL,US,,CORN,FOR FUEL ALCOHOL,USAGE,BU,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,458357000
2017-03-01 15:30:17.000,SURVEY,2016,MONTHLY,SEP,9,,NATIONAL,TOTAL,US,,CORN,FOR FUEL ALCOHOL,USAGE,BU,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,435220000
2017-03-01 15:30:17.000,SURVEY,2016,MONTHLY,OCT,10,,NATIONAL,TOTAL,US,,CORN,FOR FUEL ALCOHOL,USAGE,BU,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,455819000
2017-03-01 15:30:17.000,SURVEY,2016,MONTHLY,NOV,11,,NATIONAL,TOTAL,US,,CORN,FOR FUEL ALCOHOL,USAGE,BU,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,452039000
2017-03-01 15:30:17.000,SURVEY,2016,MONTHLY,DEC,12,,NATIONAL,TOTAL,US,,CORN,FOR FUEL ALCOHOL,USAGE,BU,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,473997000
2017-03-01 15:30:17.000,SURVEY,2016,MONTHLY,JAN,1,,NATIONAL,TOTAL,US,,CORN,FOR INDUSTRIAL ALCOHOL,USAGE,BU,"CORN, FOR INDUSTRIAL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,5505000
2017-03-01 15:30:17.000,SURVEY,2016,MONTHLY,FEB,2,,NATIONAL,TOTAL,US,,CORN,FOR INDUSTRIAL ALCOHOL,USAGE,BU,"CORN, FOR INDUSTRIAL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,6301000
2017-03-01 15:30:17.000,SURVEY,2016,MONTHLY,MAR,3,,NATIONAL,TOTAL,US,,CORN,FOR INDUSTRIAL ALCOHOL,USAGE,BU,"CORN, FOR INDUSTRIAL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,6126000
2017-03-01 15:30:17.000,SURVEY,2016,MONTHLY,APR,4,,NATIONAL,TOTAL,US,,CORN,FOR INDUSTRIAL ALCOHOL,USAGE,BU,"CORN, FOR INDUSTRIAL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,6173000
2017-03-01 15:30:17.000,SURVEY,2016,MONTHLY,MAY,5,,NATIONAL,TOTAL,US,,CORN,FOR INDUSTRIAL ALCOHOL,USAGE,BU,"CORN, FOR INDUSTRIAL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,5923000
2017-03-01 15:30:17.000,SURVEY,2016,MONTHLY,JUN,6,,NATIONAL,TOTAL,US,,CORN,FOR INDUSTRIAL ALCOHOL,USAGE,BU,"CORN, FOR INDUSTRIAL ALCOHOL - USAGE, MEASURED IN BU",NOT SPECIFIED,ALL CLASSES,4913000
